source_key,source_name,source_family,source_category,jurisdiction,current_status,target_status,current_table_or_view,target_table_or_view,workflow_command,github_actions_command_available,source_discovery_method,ingestion_method,storage_method,enrichment_method,site_linking_method,evidence_method,signal_method,freshness_method,audit_view_or_audit_command,tests_present,known_blocker,next_action,priority,owner_layer
planning_applications_spatialhub,Planning Applications: Official - Scotland,planning,planning,Scotland,live_partial,live_complete,landintel.planning_application_records,landintel.planning_application_records,ingest-planning-history,true,manifest_or_endpoint,existing_live_ingest,landintel.planning_application_records,see_live_view,see_live_view,see_live_view,see_live_view,GitHub Actions ingest run plus SpatialHub package metadata,see_live_view,true,Already the planning spine. Must use IMPROVEMENT_SERVICE_AUTHKEY rather than BOUNDARY_AUTHKEY for general SpatialHub access.,Prove lifecycle before promotion.,P0,landintel
housing_land_supply_spatialhub,Housing Land Supply - Scotland,hla,future_context,Scotland,live_partial,live_complete,landintel.hla_site_records,landintel.hla_site_records,ingest-hla,true,manifest_or_endpoint,existing_live_ingest,landintel.hla_site_records,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub package metadata and latest successful ingest_hla run,see_live_view,true,,Prove lifecycle before promotion.,P0,landintel
title_number_control_spine,Title number resolution bridge and control spine,title_number,control,Scotland,live_partial,live_complete,public.site_title_resolution_candidates,public.site_title_resolution_candidates,,false,manifest_or_endpoint,ros_cadastral_spatial_bridge,public.site_title_resolution_candidates,see_live_view,see_live_view,see_live_view,see_live_view,public.site_title_resolution_candidates and public.site_title_validation updated_at,see_live_view,true,"Highest-priority control source. RoS ScotLIS is title-number-first, so the bridge resolves candidates from geometry before API validation and never treats a cadastral identifier as a confirmed title unless it matches the RoS title-number pattern.",Prove lifecycle before promotion.,P0,public_legacy_compatibility
ldp_spatialhub_package,Local Development Plans - Scotland,ldp,policy,Scotland,live_partial,live_complete,landintel.ldp_site_records,landintel.ldp_site_records,ingest-ldp,true,manifest_or_endpoint,spatialhub_ckan_package_zips,landintel.ldp_site_records,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub package revision date and resource last_modified timestamps,see_live_view,false,"Second source in the commercial priority spine after title number. SpatialHub provides direct ZIP resources for many authorities and external links for others; metadata says commercial use is not currently available, so storage is live but ranking remains gated.",Prove lifecycle before promotion.,P0,landintel
nrs_settlement_boundaries,Settlements - Scotland,settlement,policy,Scotland,live_partial,live_complete,landintel.settlement_boundary_records,landintel.settlement_boundary_records,ingest-settlement-boundaries,true,manifest_or_endpoint,nrs_arcgis_geojson,landintel.settlement_boundary_records,see_live_view,see_live_view,see_live_view,see_live_view,NRS metadata revision date and latest successful ingest run,see_live_view,false,Third source in the commercial priority spine after title number and LDP. National NRS boundaries are storage-live; they must not influence ranking until the canonical overlay reports exact inside/outside/edge percentages.,Prove lifecycle before promotion.,P0,landintel
employment_land_supply_spatialhub,Employment Land Supply - Scotland,ela,future_context,Scotland,live_partial,live_complete,landintel.ela_site_records,landintel.ela_site_records,ingest-ela,true,manifest_or_endpoint,spatialhub_wfs,landintel.ela_site_records,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_els layer sh_date_up plus ingest run,see_live_view,true,,Prove lifecycle before promotion.,P3,landintel
vacant_derelict_land_spatialhub,Vacant and Derelict Land - Scotland,vdl,future_context,Scotland,live_partial,live_complete,landintel.vdl_site_records,landintel.vdl_site_records,ingest-vdl,true,manifest_or_endpoint,spatialhub_wfs_and_static_register,landintel.vdl_site_records,see_live_view,see_live_view,see_live_view,see_live_view,2025 SVDL register plus SpatialHub layer sh_date_up,see_live_view,true,,Prove lifecycle before promotion.,P3,landintel
sepa_flood_maps,SEPA Flood Maps,sepa_flood,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-sepa-flood,true,manifest_or_endpoint,arcgis_mapserver,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SEPA ArcGIS service revision date and GitHub Actions probe,see_live_view,true,Current official service shows revision date 2025-02-25 and layers 0-8 for river/surface/coastal high-medium-low.,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=sepa_flood; then audit constraint measurements and source completion matrix.,P1,public_legacy_compatibility
coal_authority_layers,Coal Authority mining constraints,coal_authority,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-coal-authority,true,manifest_or_endpoint,arcgis_featureserver,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,Coal Authority FeatureServer metadata and user-guide documents,see_live_view,true,Drive has current user guides. Official service found has 2024 Coal Authority layers; verify against national layer availability before marking complete.,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=coal_authority; then audit constraint measurements and source completion matrix.,P1,public_legacy_compatibility
bgs_boreholes_ogc,BGS Borehole and AGS records,bgs,constraints,Scotland,live_partial,live_complete,landintel.bgs_records,landintel.bgs_records,ingest-bgs,true,manifest_or_endpoint,ogc_api_features,landintel.bgs_records,see_live_view,see_live_view,see_live_view,see_live_view,BGS OGC response and SOBI static zip date,see_live_view,false,,Prove lifecycle before promotion.,P2,landintel
hes_designations,Historic Environment Scotland designations,hes,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-hes-designations,true,manifest_or_endpoint,wfs_capabilities,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,HES WFS capabilities and layer metadata,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=hes; then audit constraint measurements and source completion matrix.,P3,public_legacy_compatibility
naturescot_designations,"NatureScot protected areas, landscape and habitats",naturescot,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-naturescot,true,manifest_or_endpoint,multi_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,NatureScot WFS capabilities and layer metadata,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=naturescot; then audit constraint measurements and source completion matrix.,P3,public_legacy_compatibility
contaminated_land_spatialhub,Contaminated Land - Scotland,contaminated_land,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-contaminated-land,true,manifest_or_endpoint,spatialhub_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_cntml layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=contaminated_land; then audit constraint measurements and source completion matrix.,P1,public_legacy_compatibility
tpo_spatialhub,Tree Preservation Orders - Scotland,tpo,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-tpo,true,manifest_or_endpoint,spatialhub_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_tpo layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=tpo; then audit constraint measurements and source completion matrix.,P3,public_legacy_compatibility
culverts_spatialhub,Culverts - Scotland,culverts,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-culverts,true,manifest_or_endpoint,spatialhub_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_clvt layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=culverts; then audit constraint measurements and source completion matrix.,P1,public_legacy_compatibility
conservation_areas_spatialhub,Conservation Areas - Scotland,conservation_areas,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-conservation-areas,true,manifest_or_endpoint,spatialhub_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_coar layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=conservation_areas; then audit constraint measurements and source completion matrix.,P3,public_legacy_compatibility
green_belt_spatialhub,Green Belt - Scotland,greenbelt,constraints,Scotland,live_partial,live_complete,public.constraint_source_features,public.constraint_source_features,ingest-greenbelt,true,manifest_or_endpoint,spatialhub_static_or_wfs,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,SpatialHub sh_grnblt layer sh_date_up,see_live_view,false,,Run constraint-measurement-proof-title-spend-source-family with constraint_measure_source_family=greenbelt; then audit constraint measurements and source completion matrix.,P1,public_legacy_compatibility
local_authority_boundaries_spatialhub,Local Authority Boundaries - Scotland,local_authority_boundaries,location,Scotland,manual_only,manual_only,public.authority_aoi,public.authority_aoi,,false,manifest_or_endpoint,existing_boundary_load,public.authority_aoi,see_live_view,see_live_view,see_live_view,see_live_view,Static zip modified 2026-03-01 plus load_boundaries run,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
local_landscape_areas_spatialhub,Local Landscape Areas - Scotland,local_landscape_areas,constraints,Scotland,manual_only,manual_only,public.constraint_source_features,public.constraint_source_features,,false,manifest_or_endpoint,static_spatial_snapshot,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
local_nature_spatialhub,Local Nature Reserves and Conservation Sites - Scotland,local_nature,constraints,Scotland,manual_only,manual_only,public.constraint_source_features,public.constraint_source_features,,false,manifest_or_endpoint,static_spatial_snapshot,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
forestry_woodland_spatialhub,Forestry and Woodland Strategy - Scotland,forestry_woodland,constraints,Scotland,manual_only,manual_only,public.constraint_source_features,public.constraint_source_features,,false,manifest_or_endpoint,static_spatial_snapshot,public.constraint_source_features,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,public_legacy_compatibility
sgn_asset_list,SGN Asset List,sgn_assets,utilities,Scotland,manual_only,manual_only,landintel.source_estate_registry,landintel.source_estate_registry,,false,manifest_or_endpoint,static_catalogue,landintel.source_estate_registry,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,landintel
council_asset_register_spatialhub,Council Asset Register - Scotland,council_asset_register,ownership_control,Scotland,manual_only,manual_only,landintel.site_signals,landintel.site_signals,,false,manifest_or_endpoint,static_spatial_snapshot,landintel.site_signals,see_live_view,see_live_view,see_live_view,see_live_view,not_documented,see_live_view,false,,Prove lifecycle before promotion.,P3,landintel
planning_decision_engine,Planning decision and event engine,planning_decisions,planning_intelligence,Scotland,live_partial,live_complete,landintel.planning_decision_facts,landintel.planning_decision_facts,refresh-planning-decisions,true,manifest_or_endpoint,derived_from_live_planning_application_records,landintel.planning_decision_facts,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,false,Planning decisions are evidence context and do not predict future consent.,"Refresh approved, refused, withdrawn and live decision facts from planning records.",P0,landintel
site_assessment_refresh,Site assessment refresh engine,site_assessment,review_outputs,Scotland,live_partial,live_complete,landintel.site_assessments,landintel.site_assessments,refresh-site-assessments,true,manifest_or_endpoint,derived_from_proven_site_evidence,landintel.site_assessments,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,false,Assessment outputs support human review and do not make acquisition decisions.,"Refresh review tier, missing evidence and next action from live evidence.",P3,landintel
prove_it_conviction_layer,LandIntel Prove It conviction layer,site_conviction,review_outputs,Scotland,live_partial,live_complete,landintel.site_prove_it_assessments,landintel.site_prove_it_assessments,refresh-site-prove-it-assessments,true,manifest_or_endpoint,derived_from_proven_site_evidence,landintel.site_prove_it_assessments,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,"Conviction outputs allocate LDN attention and title spend; they do not prove legal ownership, planning certainty, engineering certainty or buyer demand.","Refresh claim, proof, interpretation, risk, gap, action and verdict from current live evidence.",P1,landintel
ldn_candidate_screen,LDN private/no-builder candidate screen,site_conviction,review_outputs,Scotland,live_partial,live_complete,landintel.site_ldn_candidate_screen,landintel.site_ldn_candidate_screen,refresh-ldn-candidate-screen,true,manifest_or_endpoint,derived_from_registers_planning_constraints_and_title_readiness,landintel.site_ldn_candidate_screen,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,This screen flags private/no-builder control fit and blocker signals; it does not confirm legal ownership before title review.,"Refresh LDN candidate screen from HLA, ELA, VDL, LDP, settlement, planning, constraint and title-readiness evidence.",P1,landintel
dpea_planning_appeals,Scottish Government DPEA planning appeals,planning_appeals,planning_intelligence,Scotland,blocked,live_complete,landintel.planning_appeal_records,landintel.planning_appeal_records,ingest-planning-appeals,true,manifest_or_endpoint,register_then_stable_feed_or_document_adapter,landintel.planning_appeal_records,see_live_view,see_live_view,see_live_view,see_live_view,weekly,see_live_view,false,Stable machine-readable appeal feed has not yet been proven.,Confirm DPEA feed or controlled document adapter before ingest.,P2,landintel
local_review_body_decisions,Local Review Body decisions,planning_appeals,planning_intelligence,Scotland,blocked,live_complete,landintel.planning_appeal_records,landintel.planning_appeal_records,ingest-planning-appeals,true,manifest_or_endpoint,council_portal_adapter_required,landintel.planning_appeal_records,see_live_view,see_live_view,see_live_view,see_live_view,monthly,see_live_view,false,Council publication patterns vary; portal-specific adapters are required.,Prioritise target authorities and prove one stable adapter.,P2,landintel
planning_application_appeal_signals,Planning application appeal status signals,planning_appeals,planning_intelligence,Scotland,live_partial,live_complete,landintel.planning_appeal_records,landintel.planning_appeal_records,ingest-planning-appeals,true,manifest_or_endpoint,derived_from_live_planning_application_records,landintel.planning_appeal_records,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,false,"This is an appeal signal from planning records, not a full DPEA appeal document corpus.",Extract appeal-linked planning records and preserve source limitations.,P2,landintel
title_readiness_internal,Scottish title readiness workflow,title_control,title_control,Scotland,live_partial,live_complete,landintel.title_order_workflow,landintel.title_order_workflow,refresh-title-readiness,true,manifest_or_endpoint,derived_from_ros_parcel_and_title_candidates,landintel.title_order_workflow,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,Pre-title outputs are readiness and control signals only; legal ownership is not confirmed.,Refresh title readiness from RoS parcel and title candidate evidence.,P0,landintel
urgent_address_title_pack,Urgent site address and title candidate pack,title_control,title_control,Scotland,live_partial,live_complete,landintel.site_urgent_address_title_pack,landintel.site_urgent_address_title_pack,refresh-urgent-address-title-pack,true,manifest_or_endpoint,derived_from_prove_it_ldn_screen_os_places_and_ros_candidates,landintel.site_urgent_address_title_pack,see_live_view,see_live_view,see_live_view,see_live_view,daily,see_live_view,true,Links urgent sites to address and RoS/ScotLIS title-number candidates only; legal ownership is not confirmed until manual title review.,Refresh whenever a site is marked order-title-urgent or true LDN candidate.,P0,landintel
